id,date,hour,season,is_weekend,is_holiday,temperature,temperature_feels,humidity,wind_speed,weather_code,bike_rented
2698,2015-04-26,17,0,1,0,11,11,69.5,11,3,high
1893,2015-03-23,22,0,0,0,9,8,82,8,7,low
13329,2016-07-15,20,1,0,0,18,18,78,18.5,4,high
624,2015-01-30,00,3,0,0,3,-2,75,24,3,low
11596,2016-05-04,00,0,0,0,11,11,60,12,1,low
14245,2016-08-23,07,1,0,0,17.5,17.5,78,6.5,1,very high
1712,2015-03-16,09,0,0,0,7,4,87,15,3,high
3403,2015-05-26,02,0,0,0,12.5,12.5,69.5,13,1,very low
422,2015-01-21,14,3,0,0,3,-1,87,17,4,medium
15408,2016-10-12,07,2,0,0,11,11,88,6.5,7,very high
5588,2015-08-25,10,1,0,0,17.5,17.5,66,22,2,high
7779,2015-11-25,18,2,0,0,9,8,73.5,6,2,very high
14720,2016-09-13,15,2,0,0,33,32,32,18.5,1,high
7007,2015-10-24,05,2,1,0,13,13,72,7,4,very low
10960,2016-04-07,12,0,0,0,8,4,76,26,7,medium
4575,2015-07-14,02,1,0,0,18.5,18.5,80.5,19,3,very low
12561,2016-06-13,05,1,0,0,15,15,88,18,2,very low
853,2015-02-08,13,3,1,0,7.5,5.5,68.5,11,2,high
5109,2015-08-05,11,1,0,0,21,21,51.5,13,2,high
7499,2015-11-13,18,2,0,0,9,5.5,66,28.5,1,very high
9999,2016-02-26,19,3,0,0,5,1,73,19,1,high
963,2015-02-13,04,3,0,0,5,2,93,15,1,very low
2131,2015-04-03,01,0,0,1,8,5.5,79,14,7,low
6870,2015-10-18,12,2,1,0,14.5,14.5,65,12,3,very high
1187,2015-02-22,12,3,1,0,8,4,62,25,2,high
12092,2016-05-24,16,0,0,0,16.5,16.5,45,22,2,very high
3078,2015-05-12,13,0,0,0,16.5,16.5,43.5,32,2,high
7858,2015-11-29,01,2,1,0,11,11,72,27,2,low
12852,2016-06-25,23,1,1,0,16,16,77,17.5,1,low
2090,2015-04-01,08,0,0,0,7,2,57,34,1,very high
176,2015-01-11,08,3,1,0,5,0,66,29.5,1,low
2342,2015-04-11,21,0,1,0,10,7,43.5,22,1,low
17126,2016-12-22,23,3,0,0,8,5,87,16,1,low
2469,2015-04-17,04,0,0,0,9,6,71,20,1,very low
670,2015-01-31,22,3,1,0,4,-1,61,24,4,low
11251,2016-04-19,15,0,0,0,15,15,39,10,1,high
7161,2015-10-30,16,2,0,0,15,15,72,10,7,high
13123,2016-07-07,06,1,0,0,16,16,65.5,11,1,medium
13522,2016-07-23,21,1,1,0,22.5,22.5,61,15,1,high
4701,2015-07-19,08,1,1,0,17,17,63.5,18.5,1,low
523,2015-01-25,19,3,1,0,8,5,76,19.5,3,low
6932,2015-10-21,02,2,0,0,10,8,85,15,1,very low
5138,2015-08-06,16,1,0,0,23,23,53,19.5,2,very high
672,2015-02-01,00,3,1,0,4,-1,61,27,2,low
16131,2016-11-11,11,2,0,0,9.5,9.5,64,4,1,medium
16504,2016-11-27,01,2,1,0,5,4,93,6,2,low
3018,2015-05-10,01,0,1,0,11.5,11.5,69.5,8,1,low
8123,2015-12-10,03,3,0,0,11,11,72,26.5,4,very low
5358,2015-08-15,20,1,1,0,18.5,18.5,47.5,11,1,high
3355,2015-05-24,02,0,1,0,12,12,65,6.5,2,low
105,2015-01-08,09,3,0,0,9,7,87,13,7,low
5327,2015-08-14,13,1,0,0,22,22,65,23,3,high
6642,2015-10-08,17,2,0,0,15.5,15.5,57,6.5,1,very high
12717,2016-06-19,17,1,1,0,18.5,18.5,66,21.5,3,very high
7698,2015-11-22,09,2,1,0,2,0,84,7,1,low
4288,2015-07-02,02,1,0,0,21.5,21.5,67,21,1,very low
4301,2015-07-02,15,1,0,0,26,26,54,13,1,high
8902,2016-01-11,18,3,0,0,7,4,81,18.5,3,very high
10361,2016-03-12,21,0,1,0,6,5,87,6,1,low
8992,2016-01-15,12,3,0,0,5.5,1.5,55,25,1,medium
598,2015-01-28,22,3,0,0,4,-1,65,29,1,low
494,2015-01-24,14,3,1,0,7,4,61,20,2,high
4661,2015-07-17,16,1,0,0,23,23,48.5,28,2,very high
1452,2015-03-05,13,0,0,0,11,11,56,20.5,2,medium
9050,2016-01-17,22,3,1,0,4,1,70,14,4,low
5079,2015-08-04,05,1,0,0,15,15,79.5,15,1,very low
13181,2016-07-09,16,1,1,0,22,22,63,22,1,very high
5817,2015-09-03,23,2,0,0,13.5,13.5,65,12,2,low
5576,2015-08-24,22,1,0,0,15.5,15.5,85.5,23,7,low
13370,2016-07-17,13,1,1,0,25,25,59,19.5,2,very high
1936,2015-03-25,17,0,0,0,9,8.5,41.5,5,2,very high
7512,2015-11-14,07,2,1,0,10,7.5,76,19.5,2,low
7431,2015-11-10,22,2,0,0,15,15,82,19.5,4,low
11809,2016-05-12,21,0,0,0,18,18,68,20,1,high
14495,2016-09-04,06,2,1,0,17,17,68,26,3,very low
14074,2016-08-16,02,1,0,0,15,15,85,6.5,1,very low
3834,2015-06-13,04,1,1,0,17,17,88,21,3,very low
16978,2016-12-16,19,3,0,0,10,10,88,5,4,high
10367,2016-03-13,03,0,1,0,2,0,100,6.5,4,very low
10168,2016-03-04,20,0,0,0,5,4.5,70,3,1,medium
9579,2016-02-09,06,3,0,0,6,4,73.5,9,3,low
1190,2015-02-22,15,3,1,0,6,1.5,84,28.5,7,low
7029,2015-10-25,03,2,1,0,7.5,6,84.5,9,1,low
6207,2015-09-20,14,2,1,0,19.5,19.5,54.5,15,2,very high
13722,2016-08-01,08,1,0,0,16,16,65.5,9,1,very high
8857,2016-01-09,21,3,1,0,7.5,3,81.5,33.5,7,very low
15016,2016-09-25,23,2,1,0,14,14,72,8,1,low
10494,2016-03-18,10,0,0,0,6,3,78.5,15,3,medium
15991,2016-11-05,15,2,1,0,9,6,58,24,2,high
2993,2015-05-09,00,0,1,0,14,14,77,21,3,low
139,2015-01-09,19,3,0,0,15.5,15.5,77,41,7,medium
244,2015-01-14,04,3,0,0,4.5,1.5,72.5,14,1,very low
8788,2016-01-07,00,3,0,0,7,4,87,15,2,very low
17393,2017-01-03,02,3,0,0,0.5,-3,90,11,1,very low
16127,2016-11-11,07,2,0,0,5,3.5,87,6.5,2,very high
9565,2016-02-08,16,3,0,0,9,4,66,51,3,medium
14230,2016-08-22,16,1,0,0,26,26,48,22,2,very high
8862,2016-01-10,02,3,1,0,7,3.5,76,20.5,1,very low
13248,2016-07-12,11,1,0,0,19,19,58,18.5,2,high
7976,2015-12-04,00,3,0,0,11.5,11.5,88,32.5,7,low
16268,2016-11-17,05,2,0,0,8.5,5.5,79,18,4,very low
8446,2015-12-23,18,3,0,0,11,11,77,15,2,high
4775,2015-07-22,13,1,0,0,22.5,22,47,24,2,high
4283,2015-07-01,21,1,0,0,29.5,29.5,45.5,21.5,1,high
3810,2015-06-12,04,1,0,0,13,13,82,6.5,3,very low
12694,2016-06-18,18,1,1,0,16,16,68,8,4,very high
4547,2015-07-12,21,1,1,0,18,18,83,18.5,2,low
5125,2015-08-06,03,1,0,0,17,17,68,13,1,very low
10125,2016-03-03,01,0,0,0,6.5,1.5,78.5,35,3,very low
13814,2016-08-05,04,1,0,0,15,15,88,12,2,very low
11834,2016-05-13,22,0,0,0,10,7,71,20,4,low
11996,2016-05-20,16,0,0,0,19,19,49,20.5,2,very high
12570,2016-06-13,14,1,0,0,17.5,17.5,78,21.5,7,medium
197,2015-01-12,05,3,0,0,10,6,67,35,3,very low
15897,2016-11-01,17,2,0,0,11.5,11.5,79.5,16,4,very high
7531,2015-11-15,02,2,1,0,16,16,72,43,3,low
4290,2015-07-02,04,1,0,0,18.5,18.5,83,18.5,2,very low
12695,2016-06-18,19,1,1,0,16,16,68,8,4,high
11820,2016-05-13,08,0,0,0,13,13,79.5,16,3,very high
13652,2016-07-29,09,1,0,0,18.5,18.5,78,20,3,high
14966,2016-09-23,21,2,0,0,14.5,14.5,65,12,1,medium
14269,2016-08-24,07,1,0,0,21.5,21.5,71,2,1,very high
5196,2015-08-09,02,1,1,0,16.5,16.5,70,6,1,low
3313,2015-05-22,08,0,0,0,13,13,67.5,13,1,very high
17291,2016-12-29,20,3,0,0,4.5,3.5,90,6,1,low
10269,2016-03-09,01,0,0,0,8,5,93,17,7,very low
9589,2016-02-09,16,3,0,0,7,3,53,23,2,high
12147,2016-05-26,23,0,0,0,13,13,82,16,1,low
7586,2015-11-17,09,2,0,0,14.5,14.5,74.5,24,3,very high
1764,2015-03-18,13,0,0,0,9,6.5,68.5,17,2,high
11760,2016-05-10,20,0,0,0,16,16,91,13,3,high
5727,2015-08-31,05,1,0,1,15.5,15.5,91,8,7,very low
5855,2015-09-05,13,2,1,0,14.5,14.5,72.5,12,3,high
2420,2015-04-15,03,0,0,0,12.5,12.5,69.5,9,1,very low
12549,2016-06-12,17,1,1,0,19,19,80.5,13,2,high
17249,2016-12-28,02,3,0,0,1,-1,93,6,3,very low
9511,2016-02-06,03,3,1,0,10,7,88,23,3,very low
5502,2015-08-21,20,1,0,0,22.5,22.5,61,10,1,high
12682,2016-06-18,06,1,1,0,14,14,82,11,3,very low
14534,2016-09-05,21,2,0,0,22,22,83,9,3,medium
13439,2016-07-20,10,1,0,0,24,24,65,23,2,high
10411,2016-03-14,23,0,0,0,5,3.5,81,7.5,1,low
1188,2015-02-22,13,3,1,0,8,4,62,28,3,high
16519,2016-11-27,16,2,1,0,9,7,71,13,3,high
16081,2016-11-09,09,2,0,0,8,7,93,6.5,7,high
7785,2015-11-26,00,2,0,0,8,6.5,87,8,1,low
2292,2015-04-09,19,0,0,0,12.5,12.5,69.5,16,1,very high
11557,2016-05-02,09,0,0,1,13,13,82,18.5,3,medium
14549,2016-09-06,12,2,0,0,23,23,76,13,3,high
10963,2016-04-07,15,0,0,0,10,8,76,16,3,medium
6118,2015-09-16,20,2,0,0,14,14,91,8,2,medium
17254,2016-12-28,07,3,0,0,0.5,-1.5,100,6,7,low
5705,2015-08-30,07,1,1,0,16.5,16.5,82.5,6.5,4,low
14856,2016-09-19,07,2,0,0,16,16,77,5.5,3,very high
7662,2015-11-20,21,2,0,0,7,3,68.5,26,1,low
11801,2016-05-12,13,0,0,0,22.5,22.5,48.5,24.5,2,high
15471,2016-10-14,22,2,0,0,12,12,77,7,4,medium
14569,2016-09-07,08,2,0,0,20,20,83,7,3,very high
12443,2016-06-08,07,1,0,0,17,17,88,0,1,very high
6217,2015-09-21,00,2,0,0,14,14,88,8,4,low
2801,2015-05-01,00,0,0,0,7.5,5,73.5,14,1,very low
8084,2015-12-08,12,3,0,0,14.5,14.5,72.5,24,3,medium
4602,2015-07-15,05,1,0,0,18,18,94,10,7,very low
7407,2015-11-09,22,2,0,0,15,15,82,31,3,low
6661,2015-10-09,13,2,0,0,16,16,55.5,9,2,high
5016,2015-08-01,14,1,1,0,22.5,21.5,37,18,1,very high
5500,2015-08-21,18,1,0,0,25,25,54,16,1,very high
12957,2016-06-30,08,1,0,0,16,16,83,12,3,very high
321,2015-01-17,09,3,1,0,3.5,-0.5,65,16,1,medium
2887,2015-05-04,14,0,0,1,18,18,47.5,19.5,2,very high
12201,2016-05-29,05,0,1,0,10,8.5,88,10,2,very low
9646,2016-02-12,01,3,0,0,4.5,3,84,7.5,2,very low
13244,2016-07-12,07,1,0,0,15.5,15.5,74.5,13,2,very high
5178,2015-08-08,08,1,1,0,16.5,16.5,85.5,10,3,low
7197,2015-11-01,04,2,1,0,8,7.5,100,5,4,low
15648,2016-10-22,07,2,1,0,8,7,93,6,2,low
8562,2015-12-28,14,3,0,1,12,12,67,19.5,1,high
16257,2016-11-16,18,2,0,0,11,11,88,25.5,7,high
4223,2015-06-29,09,1,0,0,20,20,51,6.5,1,very high
11747,2016-05-10,07,0,0,0,15,15,94,13,7,high
8577,2015-12-29,05,3,0,0,13,13,72,18,1,very low
1788,2015-03-19,13,0,0,0,8,5.5,76,15,3,medium
7981,2015-12-04,05,3,0,0,8,5,73.5,20,1,very low
14141,2016-08-18,23,1,0,0,18,18,83,9,2,medium
12600,2016-06-14,20,1,0,0,17,17,73,16,2,high
14008,2016-08-13,07,1,1,0,17.5,17.5,75,20,1,low
15302,2016-10-07,21,2,0,0,14,14,77,7,1,medium
16772,2016-12-08,05,3,0,0,11,11,82,13,1,very low
10408,2016-03-14,20,0,0,0,6,3,73.5,18,1,medium
11303,2016-04-21,19,0,0,0,12,12,45.5,24,1,very high
14904,2016-09-21,07,2,0,0,15,15,88,6,1,very high
4131,2015-06-25,13,1,0,0,23,22.5,42.5,14,1,high
16576,2016-11-30,01,2,0,0,0,0,90,1,1,very low
5168,2015-08-07,22,1,0,0,18,18,83,19.5,2,medium
15703,2016-10-24,14,2,0,0,13.5,13.5,69.5,13,2,high
14472,2016-09-01,18,2,0,0,23,23,44,18,1,very high
1124,2015-02-19,21,3,0,0,8,5,87,16,7,low
4803,2015-07-23,17,1,0,0,21.5,21,39,15,1,very high
14949,2016-09-23,04,2,0,0,13,13,77,8,1,very low
6062,2015-09-14,12,2,0,0,16,16,85.5,10,7,medium
6686,2015-10-10,14,2,1,0,16,16,70,19.5,3,very high
11248,2016-04-19,12,0,0,0,13,13,42.5,6.5,2,high
4033,2015-06-21,11,1,1,0,17.5,17.5,54,23,3,high
805,2015-02-06,13,3,0,0,5,0.5,57,27,2,medium
1161,2015-02-21,10,3,1,0,5,1.5,81,18.5,2,medium
1425,2015-03-04,10,0,0,0,7,3,61,29.5,2,medium
4986,2015-07-31,08,1,0,0,15.5,15.5,67.5,6,1,very high
3117,2015-05-14,04,0,0,0,9,6,87,17,1,very low
6731,2015-10-12,11,2,0,0,12,12,65,13,3,medium
10262,2016-03-08,18,0,0,0,7.5,4.5,78.5,18,7,very high
15294,2016-10-07,13,2,0,0,14,14,77,13,3,high
4978,2015-07-31,00,1,0,0,14,14,74.5,6,1,low
7631,2015-11-19,14,2,0,0,11.5,11.5,91,17,7,low
14834,2016-09-18,09,2,1,0,15.5,15.5,85.5,8,3,medium
14867,2016-09-19,18,2,0,0,19,19,70.5,10,7,very high
7187,2015-10-31,18,2,1,0,12,12,94,7,1,high
10862,2016-04-03,09,0,1,0,10.5,9.5,76.5,10,2,medium
1299,2015-02-27,04,3,0,0,3,-1,75,16,1,very low
9665,2016-02-12,20,3,0,0,5,3,87,7,3,medium
930,2015-02-11,19,3,0,0,5,3.5,73,6.5,4,high
6331,2015-09-25,18,2,0,0,16.5,16.5,50.5,6.5,1,very high
14613,2016-09-09,04,2,0,0,17,17,77,13,3,very low
5887,2015-09-06,21,2,1,0,17,17,59,8,1,medium
6863,2015-10-18,05,2,1,0,12,12,88,8,3,very low
6161,2015-09-18,15,2,0,0,17,17,73,10,2,high
528,2015-01-26,00,3,0,0,8,5,87,19,7,very low
11764,2016-05-11,00,0,0,0,15,15,94,6.5,7,very low
6966,2015-10-22,12,2,0,0,15,15,59,25,3,high
3936,2015-06-17,10,1,0,0,20,20,64,23,2,high
10642,2016-03-24,14,0,0,0,10.5,9,74,22.5,7,medium
12940,2016-06-29,15,1,0,0,16,16,83,28,7,medium
12107,2016-05-25,07,0,0,0,10,8,73.5,14,4,very high
5958,2015-09-09,20,2,0,0,16,16,74.5,17,1,high
630,2015-01-30,06,3,0,0,3,0.5,93,9,26,low
13227,2016-07-11,14,1,0,0,19,19,78,23.5,7,medium
8999,2016-01-15,19,3,0,0,4,0,75,17,1,high
4850,2015-07-25,16,1,1,0,20,20,44.5,18,1,very high
1202,2015-02-23,03,3,0,0,7,4,78.5,18.5,1,very low
859,2015-02-08,19,3,1,0,5,2.5,78.5,11,1,low
17114,2016-12-22,11,3,0,0,9.5,7.5,66.5,15,2,medium
8662,2016-01-01,18,3,0,1,8,4.5,87,22,3,low
11991,2016-05-20,11,0,0,0,17,17,56,25,2,high
1880,2015-03-23,09,0,0,0,8.5,5.5,60,18.5,2,high
7284,2015-11-04,19,2,0,0,14,14,88,12,2,high
17173,2016-12-24,22,3,1,0,11,11,72,34,2,low
5832,2015-09-04,14,2,0,0,15.5,15.5,61,17,3,high
5898,2015-09-07,08,2,0,0,12.5,12.5,77,8,1,very high
1810,2015-03-20,11,0,0,0,6,6,81,4,3,medium
15030,2016-09-26,13,2,0,0,18,18,60,16,2,high
3415,2015-05-26,14,0,0,0,18,18,49,18.5,3,high
12996,2016-07-01,23,1,0,0,13,13,77,22,1,medium
2129,2015-04-02,23,0,0,0,8.5,6.5,73.5,11,7,low
6125,2015-09-17,03,2,0,0,13,13,88,15,7,very low
7914,2015-12-01,10,3,0,0,14,14,77,29,3,medium
12744,2016-06-20,20,1,0,0,21,21,60,22,2,high
10498,2016-03-18,14,0,0,0,8,5,76,15,3,medium
13860,2016-08-07,03,1,1,0,19,19,78,15,4,low
5967,2015-09-10,05,2,0,0,12,12,94,4,1,very low
15499,2016-10-16,02,2,1,0,10,9.5,94,6.5,1,low
6525,2015-10-03,20,2,1,0,13.5,13.5,74.5,6.5,1,medium
11686,2016-05-07,18,0,1,0,21,21,41.5,23,1,very high
16623,2016-12-02,00,3,0,0,5.5,3.5,84,8,4,low
16237,2016-11-15,22,2,0,0,14,14,88,18,3,medium
16457,2016-11-25,02,2,0,0,7,4,78.5,16,1,very low
9084,2016-01-19,08,3,0,0,0,0,80,0,1,very high
3389,2015-05-25,12,0,0,1,15,15,55,15,2,very high
8021,2015-12-05,21,3,1,0,13,13,63,42.5,3,low
7835,2015-11-28,02,2,1,0,6,1,71,30.5,1,low
14302,2016-08-25,16,1,0,0,28,29,51,8,1,very high
8212,2015-12-14,00,3,0,0,8,7,93,7,2,very low
13065,2016-07-04,20,1,0,0,18,18,78,18,3,high
16714,2016-12-05,19,3,0,0,5,3.5,93,6.5,1,high
15331,2016-10-09,02,2,1,0,12,12,77,8,1,low
3491,2015-05-29,18,0,0,0,14,14,51,26.5,2,very high
13086,2016-07-05,17,1,0,0,20.5,20.5,46,20.5,1,very high
182,2015-01-11,14,3,1,0,9,5,60,28,2,high
8496,2015-12-25,20,3,0,1,15,15,77,26,4,medium
10266,2016-03-08,22,0,0,0,7.5,4.5,90,15,7,low
7189,2015-10-31,20,2,1,0,11,11,94,6,1,medium
1458,2015-03-05,19,0,0,0,9,6,62,20,3,high
3376,2015-05-24,23,0,1,0,14.5,14.5,74.5,14,3,medium
496,2015-01-24,16,3,1,0,6.5,3.5,63.5,17,1,high
7648,2015-11-20,07,2,0,0,9.5,7.5,69,16,2,high
274,2015-01-15,10,3,0,0,9,6,76,21,2,medium
4114,2015-06-24,20,1,0,0,20,20,49,19.5,1,high
7041,2015-10-25,15,2,1,0,12,12,58,8,2,very high
12737,2016-06-20,13,1,0,0,18.5,18.5,85.5,18,7,medium
13393,2016-07-18,12,1,0,0,26.5,26.5,38,7,1,high
11344,2016-04-23,12,0,1,0,8,5,66,15,7,high
5579,2015-08-25,01,1,0,0,15,15,88,23,2,very low
16578,2016-11-30,03,2,0,0,0,-2.5,83.5,6.5,1,very low
2837,2015-05-02,12,0,1,0,12,12,67,28,2,high
9287,2016-01-27,19,3,0,0,11,11,72,25,2,high
13593,2016-07-26,20,1,0,0,21,21,58.5,15,2,high
12538,2016-06-12,06,1,1,0,16,16,77,14,1,low
3636,2015-06-04,19,1,0,0,18.5,18.5,58,22,1,very high
929,2015-02-11,18,3,0,0,5,3,76,7,4,very high
7961,2015-12-03,09,3,0,0,13,13,77,19.5,2,very high
16818,2016-12-10,03,3,1,0,12,12,88,11,4,low
16894,2016-12-13,07,3,0,0,10.5,10,91,10,3,very high
7318,2015-11-06,05,2,0,0,14.5,14.5,85,15,4,very low
8969,2016-01-14,13,3,0,0,5,0,73,32,3,medium
1121,2015-02-19,18,3,0,0,8,5,87,19.5,7,high
12311,2016-06-02,19,1,0,0,11,11,82,21,3,high
8834,2016-01-08,22,3,0,0,8.5,7,84.5,9,1,low
9267,2016-01-26,23,3,0,0,12,12,82,29.5,7,low
3542,2015-05-31,21,0,1,0,13,13,47,21,1,low
1782,2015-03-19,07,0,0,0,7,4,81,18,4,very high
658,2015-01-31,10,3,1,0,3,-1,87,15,3,medium
11545,2016-05-01,21,0,1,0,12,12,63,16,1,low
10565,2016-03-21,09,0,0,0,10,9,69,9,2,high
14251,2016-08-23,13,1,0,0,29,29,40,14,1,high
14158,2016-08-19,16,1,0,0,17,17,85.5,18.5,7,high
10582,2016-03-22,02,0,0,0,5,4.5,84,3,1,very low
6718,2015-10-11,22,2,1,0,10,8,71,12,1,low
3209,2015-05-18,00,0,0,0,12,12,72,15,2,low
11941,2016-05-18,09,0,0,0,13,13,82,13,7,high
16568,2016-11-29,17,2,0,0,5,3.5,66,6.5,1,very high
12606,2016-06-15,02,1,0,0,13.5,13.5,85,13,1,very low
3283,2015-05-21,02,0,0,0,9.5,7.5,73.5,13,1,very low
16390,2016-11-22,07,2,0,0,11,11,72,25,7,very high
12878,2016-06-27,01,1,0,0,15,15,94,12,7,very low
15406,2016-10-12,05,2,0,0,11,11,88,2,7,very low
7628,2015-11-19,11,2,0,0,12,12,88,17,7,low
1131,2015-02-20,04,3,0,0,7.5,5,90,15,7,very low
14965,2016-09-23,20,2,0,0,15.5,15.5,59,12,1,high
7623,2015-11-19,06,2,0,0,12,12,77,25,2,medium
1516,2015-03-08,05,0,1,0,7.5,5,87,12,2,very low
16785,2016-12-08,18,3,0,0,13,13,88,19,3,very high
3644,2015-06-05,06,1,0,0,15.5,15.5,88,8,10,low
13068,2016-07-04,23,1,0,0,17,17,77,19.5,3,low
11691,2016-05-07,23,0,1,0,16,16,65.5,10,1,medium
6817,2015-10-16,07,2,0,0,12,12,82,18,3,high
1996,2015-03-28,05,0,1,0,9.5,8,91,9,3,very low
1232,2015-02-24,09,3,0,0,7.5,3.5,71,23,1,high
5621,2015-08-26,19,1,0,0,18,18,73,22,2,very high
6982,2015-10-23,04,2,0,0,12,12,72,5,4,very low
876,2015-02-09,12,3,0,0,8,5.5,71,14,2,medium
6082,2015-09-15,08,2,0,0,12.5,12.5,85,19.5,4,very high
6042,2015-09-13,16,2,1,0,16.5,16.5,57.5,17,2,very high
3975,2015-06-19,01,1,0,0,14.5,14.5,61,13,1,low
3392,2015-05-25,15,0,0,1,15,15,57,14,3,very high
7940,2015-12-02,12,3,0,0,13,13,77,23,2,medium
12279,2016-06-01,11,1,0,0,13,13,88,22,7,medium
9144,2016-01-21,20,3,0,0,5,2,76,11,1,medium
2214,2015-04-06,13,0,0,1,15,15,61,20,2,very high
8600,2015-12-30,04,3,0,0,13,13,72,25,4,very low
6866,2015-10-18,08,2,1,0,12,12,82,7,4,low
5871,2015-09-06,05,2,1,0,9,8,87,6.5,1,very low
14568,2016-09-07,07,2,0,0,20,20,83,6.5,3,very high
1490,2015-03-07,03,0,1,0,9,6,68.5,19,1,very low
6574,2015-10-05,21,2,0,0,16,16,94,10,7,low
6101,2015-09-16,03,2,0,0,13,13,88,9,7,very low
7971,2015-12-03,19,3,0,0,12.5,12.5,74.5,27,7,high
324,2015-01-17,12,3,1,0,6.5,3.5,73.5,17,2,high
6035,2015-09-13,09,2,1,0,14,14,79.5,8,1,medium
3006,2015-05-09,13,0,1,0,16,16,55.5,32.5,7,very high
15715,2016-10-25,02,2,0,0,11,11,77,4,1,very low
6992,2015-10-23,14,2,0,0,14,14,57,14,4,high
16223,2016-11-15,08,2,0,0,14,14,88,19,4,very high
3733,2015-06-08,23,1,0,0,10.5,9.5,69,13,1,low
14078,2016-08-16,06,1,0,0,13.5,13.5,85,5,2,medium
5732,2015-08-31,10,1,0,1,16,16,88,10,7,very low
8505,2015-12-26,05,3,1,0,14,14,88,25,7,very low
8318,2015-12-18,10,3,0,0,14,14,77,18,2,medium
10478,2016-03-17,18,0,0,0,7.5,5,61.5,14,1,very high
4601,2015-07-15,04,1,0,0,18,18,88,12,3,very low
14307,2016-08-25,21,1,0,0,24.5,24.5,69,7.5,1,high
132,2015-01-09,12,3,0,0,13,13,67,26,1,medium
10822,2016-04-01,17,0,0,0,11,11,50.5,22,2,very high
1557,2015-03-09,22,0,0,0,11,11,88,17,7,low
7206,2015-11-01,13,2,1,0,10,9.5,100,6.5,4,very high
5265,2015-08-11,23,1,0,0,17.5,17.5,80.5,9,7,low
11986,2016-05-20,06,0,0,0,14,14,82,19.5,3,medium
47,2015-01-05,22,3,0,0,9,7.5,71,10,4,low
15658,2016-10-22,17,2,1,0,13,13,65,12,2,very high
2455,2015-04-16,14,0,0,0,15.5,15.5,48,26,1,high
4888,2015-07-27,06,1,0,0,16.5,16.5,80,26,3,medium
3478,2015-05-29,05,0,0,0,11,11,69.5,19.5,1,very low
3440,2015-05-27,15,0,0,0,20.5,20.5,38,19.5,1,very high
16719,2016-12-06,00,3,0,0,3.5,1.5,96.5,7,4,very low
7585,2015-11-17,08,2,0,0,14,14,79.5,18.5,3,very high
5369,2015-08-16,07,1,1,0,14.5,14.5,70,6,1,low
570,2015-01-27,18,3,0,0,8,6,71,11,3,very high
15437,2016-10-13,12,2,0,0,13,13,65,30.5,2,high
12123,2016-05-25,23,0,0,0,12,12,77,6.5,4,low
881,2015-02-09,17,3,0,0,8.5,7.5,68.5,6,2,very high
16522,2016-11-27,19,2,1,0,7.5,4.5,73.5,15,3,medium
10696,2016-03-27,11,0,1,0,9,5,76,37,3,medium
7711,2015-11-22,22,2,1,0,4,1.5,81,10,1,low
14865,2016-09-19,16,2,0,0,20,20,58,7.5,2,very high
